hole_card_1,hole_card_2,board_card_1,board_card_2,board_card_3,board_card_4,board_card_5,street,num_opponents,win_pct,tie_pct,loss_pct
Qs,Qh,4s,Js,2h,,,3,8,25.2,0.0,74.8
Qh,4d,Ac,5s,Ah,5d,7d,5,8,0.0,0.0,100.0
Ah,Kc,,,,,,0,8,21.8,1.6,76.6
Jh,5d,,,,,,0,5,11.2,4.4,84.4
7d,9s,,,,,,0,7,10.6,1.0,88.4
5h,3s,,,,,,0,5,11.0,2.0,87.0
5s,5c,Jd,7h,9d,2c,,4,7,4.4,0.0,95.6
Td,6h,6c,Qs,7c,4c,,4,2,28.4,1.4,70.2
6d,Td,7d,Ad,8s,,,3,7,33.8,3.0,63.2
3c,4s,6c,9s,Td,,,3,6,3.0,0.4,96.6
7c,5c,6c,2d,4d,,,3,5,25.8,4.4,69.8
Kh,Ac,Kc,6s,3d,4s,4h,5,7,24.4,1.2,74.4
Qh,2c,Jh,Kh,As,,,3,7,8.8,8.0,83.2
2c,As,,,,,,0,8,10.2,1.8,88.0
Ad,Ts,9h,7d,Ks,Qd,,4,8,11.0,1.2,87.8
Ks,7h,,,,,,0,7,10.2,2.6,87.2
8d,Qh,4d,2c,4h,4s,,4,3,10.2,11.6,78.2
Kc,Qc,4d,5d,7d,,,3,1,27.6,4.8,67.6
3c,8d,Jd,5d,5c,,,3,3,9.2,3.4,87.4
Js,4d,,,,,,0,5,10.6,1.2,88.2
9d,2s,5h,4s,6d,As,Ah,5,8,0.0,0.0,100.0
5h,Th,Ks,Qs,3h,2d,Kd,5,8,0.0,0.0,100.0
2h,7d,,,,,,0,1,33.8,4.6,61.6
Qs,2c,,,,,,0,1,50.6,3.8,45.6
Kh,3d,,,,,,0,8,7.4,2.8,89.8
6s,Ad,Qc,Js,8s,,,3,4,8.2,2.6,89.2
6h,Ks,7c,9d,Qs,Jc,,4,7,3.0,5.4,91.6
9s,2s,8h,8s,4h,2d,8c,5,8,2.2,7.6,90.2
As,8c,Ks,5h,Qs,,,3,1,51.2,3.4,45.4
8s,3h,,,,,,0,1,35.2,5.2,59.6
Jd,Jh,Ad,Ks,9d,9c,Qh,5,2,29.0,0.4,70.6
3d,5c,Tc,3h,2c,,,3,7,10.4,2.8,86.8
9h,8h,8s,Td,Ts,,,3,7,10.0,8.2,81.8
Tc,2c,Qd,9d,8s,6c,4c,5,5,0.0,0.0,100.0
Kc,2h,,,,,,0,1,47.8,5.2,47.0
Kc,6s,7d,Ac,8s,4h,7s,5,4,2.6,1.0,96.4
3d,Ad,2c,As,2d,Jc,8d,5,4,47.4,13.8,38.8
2c,Td,2s,9c,8d,9d,,4,1,54.8,4.6,40.6
Kd,8s,,,,,,0,6,14.0,2.2,83.8
5d,Kh,7s,Qd,2d,6c,,4,7,2.0,0.8,97.2
7c,4d,6h,5h,5c,Ah,Kc,5,2,0.2,0.6,99.2
9s,4d,,,,,,0,3,14.4,4.2,81.4
Ac,Ts,7h,4s,2s,,,3,8,5.2,0.8,94.0
4h,2h,,,,,,0,6,9.6,1.6,88.8
5h,2d,As,Qd,Jc,2c,,4,5,8.0,2.0,90.0
Tc,As,2d,5d,Qs,,,3,2,27.0,3.4,69.6
3s,7h,4h,2d,7d,5s,,4,3,36.6,6.8,56.6
4s,8c,6c,2s,5c,5h,,4,8,7.8,4.6,87.6
As,Kd,Ks,7d,2s,,,3,7,44.4,2.0,53.6
2d,Ks,6h,2s,Th,5c,,4,4,14.6,0.6,84.8
Ac,Ts,,,,,,0,1,62.6,1.6,35.8
Td,As,3s,6s,9d,,,3,2,32.0,1.8,66.2
4c,4s,6s,4h,6d,9s,,4,8,75.6,0.0,24.4
5c,Kc,Kh,7s,6s,,,3,2,57.0,4.2,38.8
Js,Qh,,,,,,0,6,20.2,3.4,76.4
6s,Qh,Ks,As,Th,,,3,1,50.0,7.8,42.2
Js,7d,6d,Td,6h,Qd,9d,5,6,24.6,0.0,75.4
3s,Qc,,,,,,0,5,12.0,2.6,85.4
8h,Ts,4s,4h,4c,,,3,1,29.0,16.0,55.0
Kh,Kc,,,,,,0,3,62.4,0.8,36.8
Qc,Ah,As,3c,5c,,,3,7,31.0,2.4,66.6
Jh,Td,Ah,2c,4d,,,3,1,37.2,3.6,59.2
7h,Th,2s,Kh,9s,6c,,4,3,9.8,0.4,89.8
3d,2d,8h,7d,5c,6c,Th,5,2,0.0,0.0,100.0
Qc,9s,3s,7d,Jd,,,3,6,5.8,0.2,94.0
4s,3d,,,,,,0,2,20.2,4.0,75.8
Th,As,Qd,2c,Td,7s,,4,1,78.0,0.8,21.2
2s,7h,6s,Kd,8d,3s,,4,2,1.4,0.6,98.0
3h,Td,6d,9h,Jd,5h,,4,4,2.2,0.4,97.4
Th,7c,,,,,,0,7,9.6,2.6,87.8
Ad,Ts,Qc,9h,Qd,Kc,8c,5,4,4.0,0.2,95.8
Kc,Kd,Td,6d,Ts,,,3,3,60.8,0.6,38.6
3c,4c,Ad,8c,Js,7h,,4,7,0.0,0.0,100.0
Qs,8h,9c,Qc,7d,,,3,4,35.6,4.8,59.6
Js,Ks,8d,Ad,9c,6s,Ts,5,5,0.2,0.0,99.8
Qh,Jc,Qd,Kc,As,3c,,4,4,27.0,7.6,65.4
Td,Tc,8s,6d,5c,2d,Ac,5,2,58.2,0.0,41.8
4d,8s,,,,,,0,1,31.0,4.0,65.0
Jc,9d,2h,6d,7s,Ah,9s,5,5,18.8,0.8,80.4
Td,As,6c,7h,8s,,,3,8,5.2,10.0,84.8
Qc,Qs,7c,5c,3c,,,3,3,53.0,0.2,46.8
Ad,Ts,Qc,3d,6d,Th,3c,5,4,26.6,2.2,71.2
4c,5s,4d,5d,7d,Qc,,4,3,39.6,1.6,58.8
3h,Ah,9c,8s,3c,2c,,4,1,56.2,0.6,43.2
5c,Qd,Tc,Ah,4d,3c,Kh,5,7,0.0,0.0,100.0
Jh,5c,Kh,7h,3h,,,3,7,18.2,0.6,81.2
5s,6d,3d,2s,Th,Qh,,4,6,6.2,0.4,93.4
7h,Jh,6h,2h,9s,,,3,4,36.4,1.0,62.6
3d,Jc,5s,3h,8d,Ts,Qs,5,7,0.0,0.0,100.0
Ah,2h,,,,,,0,2,36.0,3.2,60.8
8d,5c,Ah,5d,3h,,,3,7,7.4,1.4,91.2
6h,Ts,,,,,,0,5,13.0,2.6,84.4
Jc,7s,3s,9d,4d,Ks,7d,5,7,2.2,0.2,97.6
2c,Ks,Qs,6h,Qd,8s,3d,5,1,35.4,3.4,61.2
As,Qc,,,,,,0,7,19.8,3.2,77.0
Jh,9h,,,,,,0,5,21.0,1.8,77.2
7h,6s,,,,,,0,1,39.0,6.0,55.0
8d,Kc,4c,Jd,7c,,,3,2,29.6,1.8,68.6
3c,Td,9d,5s,9s,3h,,4,6,4.4,2.0,93.6
Ts,4c,,,,,,0,5,9.6,5.0,85.4
As,9h,Td,Ks,5s,,,3,5,11.0,2.4,86.6
Qd,Jd,6d,3s,4s,9c,As,5,4,0.0,0.0,100.0
Jc,5h,2h,As,Ks,5d,9c,5,4,7.6,0.4,92.0
Ac,7h,,,,,,0,2,38.0,4.6,57.4
Kc,Js,3d,8h,4s,Jd,,4,8,25.8,1.6,72.6
3s,3d,,,,,,0,1,52.2,1.6,46.2
7c,5h,,,,,,0,3,20.0,4.2,75.8
Tc,7d,4s,6c,6h,2d,,4,5,3.6,0.4,96.0
3h,Ah,6s,Qs,7c,9s,,4,1,26.8,2.4,70.8
Qd,2d,Tc,7h,8s,Ts,3c,5,1,17.6,4.4,78.0
6c,9s,Ks,4d,3h,,,3,5,5.8,1.4,92.8
Ah,Td,,,,,,0,8,15.0,1.0,84.0
5s,3c,Ts,5h,7c,8d,,4,8,4.0,0.8,95.2
Tc,6c,2h,Ah,8c,4s,,4,3,2.0,0.2,97.8
4d,9s,,,,,,0,6,7.0,3.0,90.0
5h,2s,Qs,3d,4s,6d,Jh,5,2,95.4,1.6,3.0
6s,8d,Qs,3h,Th,Jh,,4,8,0.0,0.8,99.2
6c,Jd,Js,Tc,Kh,Th,,4,5,9.4,7.6,83.0
As,7s,Jc,Jh,7c,Th,9s,5,6,0.4,0.0,99.6
Th,6s,7c,Js,8c,,,3,3,13.8,5.0,81.2
Ts,Ad,4s,Jc,8d,,,3,1,51.0,2.8,46.2
4h,3d,,,,,,0,7,6.2,3.4,90.4
7c,Qc,,,,,,0,7,12.4,2.8,84.8
9h,2d,7s,Qs,3d,7h,,4,2,6.0,3.6,90.4
Tc,5s,5d,8s,6h,4s,,4,3,8.8,6.2,85.0
Kh,Jc,9h,6c,2c,,,3,7,11.0,0.4,88.6
8d,Tc,,,,,,0,1,49.6,3.0,47.4
4d,2c,As,2d,Td,9h,,4,2,27.4,2.0,70.6
7d,Qd,3h,4s,2s,Jh,,4,7,2.0,0.2,97.8
Jc,Qd,Jd,2h,8s,9c,3c,5,3,55.2,1.2,43.6
Tc,2s,3s,8h,8s,5s,,4,1,23.2,2.0,74.8
Ah,3d,5d,5h,Jd,3s,Kh,5,4,11.6,0.2,88.2
Th,3s,Kc,7h,Jd,4s,,4,7,0.0,0.0,100.0
Ts,7c,,,,,,0,1,43.8,4.4,51.8
6c,Ac,4s,3c,Ad,8h,Td,5,6,32.2,1.6,66.2
Jd,2d,3c,Qs,2h,,,3,6,11.0,1.0,88.0
2s,4h,,,,,,0,8,6.8,1.8,91.4
Jc,9h,,,,,,0,1,48.0,3.8,48.2
Kd,Qs,4c,Tc,As,Ah,Qh,5,5,50.8,2.4,46.8
8s,2h,9h,6d,5h,,,3,1,28.2,6.6,65.2
2d,Ad,Kc,Td,6h,8d,Tc,5,2,15.6,6.2,78.2
Th,Qd,Kh,Kd,Qc,6c,8d,5,2,73.8,1.4,24.8
3c,Qh,7c,4h,Ah,Ac,,4,3,10.4,3.4,86.2
3s,8s,3h,4d,Th,Js,,4,1,47.8,2.0,50.2
3c,Kd,7h,9h,Kh,6c,6h,5,3,7.8,1.6,90.6
5c,5d,Ac,Jh,6d,7d,,4,4,5.8,0.0,94.2
2s,Ac,9h,7d,4s,8d,,4,3,5.8,2.0,92.2
6d,8c,Th,Ac,4d,,,3,8,3.6,0.6,95.8
2h,Ks,,,,,,0,7,11.4,2.4,86.2
7c,8h,3c,8s,3d,3h,,4,3,42.4,18.2,39.4
2d,9h,Td,Jh,9c,3c,,4,8,2.8,1.4,95.8
Tc,6s,,,,,,0,2,26.2,3.4,70.4
3d,3s,5c,Ac,Ad,Td,,4,4,12.4,0.2,87.4
8s,Qs,5d,9c,7s,6c,,4,8,22.4,55.4,22.2
2h,Kh,Jd,3c,4d,6d,,4,7,1.4,0.4,98.2
3d,9c,5d,5s,Qd,Jh,,4,4,1.0,0.4,98.6
3c,4d,3d,Qd,4c,,,3,7,37.6,2.0,60.4
5s,Jc,,,,,,0,8,5.8,3.0,91.2
Qd,Js,3h,7h,Kc,9c,2s,5,3,1.8,0.2,98.0
8c,4d,6h,2c,Qh,,,3,7,3.0,0.8,96.2
3c,Js,4d,3d,Ts,Qs,Ac,5,3,8.0,0.6,91.4
Js,2c,5h,3s,7c,,,3,6,2.4,1.4,96.2
2d,8c,2h,Jd,Ks,,,3,3,22.0,4.8,73.2
5c,Td,3c,Qd,2h,6s,,4,2,13.8,2.6,83.6
2d,4c,Ad,Kd,9c,Ks,5d,5,6,0.0,0.0,100.0
Qs,9s,Qc,4c,Kc,Ac,8h,5,8,0.0,0.0,100.0
9h,Qs,8s,7h,9s,,,3,8,11.6,2.6,85.8
3s,4s,7s,6h,Ts,,,3,8,26.6,0.6,72.8
Jc,7d,Jd,Qh,9c,,,3,1,61.8,6.4,31.8
Ts,6h,Ac,4d,7d,5c,,4,8,4.0,8.0,88.0
Jd,6c,2d,3d,4c,7d,Js,5,4,34.4,1.0,64.6
4d,6c,,,,,,0,2,22.0,3.0,75.0
5d,Th,4s,Qs,Ac,,,3,6,2.6,2.0,95.4
Qc,Ah,Ac,Qd,7d,4c,,4,4,79.6,1.6,18.8
Qc,Qs,9h,6c,8c,6d,5s,5,5,18.8,0.0,81.2
4c,Qs,2s,Qc,5c,,,3,1,82.6,2.6,14.8
Qc,9c,,,,,,0,6,17.0,3.4,79.6
5c,4s,Ks,Ac,3h,,,3,4,19.2,1.8,79.0
5s,3d,,,,,,0,2,22.4,4.2,73.4
Ad,3c,Ts,Qh,Qd,Kd,,4,8,3.2,5.8,91.0
8s,5d,2s,Js,3s,,,3,8,4.4,1.6,94.0
Kd,3d,Ks,Ts,9s,6h,Kc,5,8,28.6,7.0,64.4
2h,Ts,9c,2d,6h,5h,,4,2,22.4,0.2,77.4
3d,8c,3h,Js,As,,,3,7,10.0,1.4,88.6
Kc,Qc,Qs,3s,Qh,,,3,7,73.2,6.6,20.2
Kd,4d,7h,Th,Kh,3c,Kc,5,4,68.2,3.2,28.6
Ad,3c,6h,9s,Qh,As,5d,5,2,66.4,4.0,29.6
Jd,Ks,Qd,3c,Kd,8h,,4,5,47.8,4.4,47.8
Th,Ad,7c,2c,Qs,Kh,5s,5,7,0.0,0.0,100.0
4c,9s,,,,,,0,2,23.4,5.0,71.6
Jd,8s,5c,Tc,Td,5h,,4,1,28.4,24.6,47.0
8d,9h,Ts,Jh,Tc,,,3,2,34.2,8.2,57.6
Kd,Jh,6d,5s,7d,Ad,Qs,5,2,8.4,1.0,90.6
7c,6d,,,,,,0,2,29.4,3.4,67.2
5h,Ks,Ts,3c,9c,Qd,,4,1,34.6,5.4,60.0
3d,Ts,5s,8d,9s,,,3,3,9.2,1.6,89.2
As,Jh,7h,Kh,Ks,5c,,4,8,5.2,1.0,93.8
6d,3c,Ad,Kh,Kc,5d,,4,5,2.2,1.4,96.4
6s,Qs,4d,2d,Js,,,3,5,8.2,1.0,90.8
Td,9d,,,,,,0,4,23.2,2.2,74.6
Kc,As,5c,8s,Th,2d,,4,4,9.6,0.4,90.0
9h,4s,Js,Jh,7c,6c,,4,4,4.2,0.8,95.0
Ac,3s,,,,,,0,4,17.2,5.2,77.6
Jd,9d,,,,,,0,3,28.2,3.0,68.8
3h,Js,As,7s,Qd,9c,7d,5,5,0.2,0.4,99.4
Tc,2c,,,,,,0,3,20.4,3.2,76.4
Jc,5h,,,,,,0,2,26.2,4.8,69.0
Ks,6c,Jh,3d,Td,,,3,3,8.4,2.4,89.2
Td,6d,Qh,Th,7s,8h,Ac,5,2,32.2,5.4,62.4
2c,5h,Qh,9d,Ah,,,3,7,2.2,0.2,97.6
Qc,9h,,,,,,0,8,8.8,3.2,88.0
Qh,Jd,8c,6c,3c,5s,6h,5,6,0.2,0.0,99.8
5s,7c,Ac,3h,8c,5h,8d,5,4,15.8,10.2,74.0
3c,Qd,9c,2d,8c,Tc,Kh,5,6,0.0,0.0,100.0
Js,3h,,,,,,0,5,12.6,2.8,84.6
2h,3h,,,,,,0,8,10.2,0.6,89.2
Jc,Jh,,,,,,0,1,81.4,0.8,17.8
Tc,6d,5c,3h,Qs,9h,9c,5,8,0.0,0.0,100.0
Tc,3s,Jd,9s,3h,9h,6s,5,8,0.2,0.0,99.8
Th,As,9c,3h,3d,5c,,4,2,24.2,2.6,73.2
Qc,Js,,,,,,0,1,59.2,2.6,38.2
4s,5c,,,,,,0,4,13.4,2.2,84.4
Qs,5h,2c,Kh,Ad,3d,,4,3,9.0,2.4,88.6
4c,6h,4d,7h,8h,Kc,2d,5,7,0.6,0.2,99.2
Jd,8d,,,,,,0,2,37.2,3.0,59.8
Jh,5h,Qd,Kh,Th,3d,2c,5,4,0.0,0.2,99.8
3h,3s,2d,Ac,8d,Kc,,4,2,23.4,0.2,76.4
4c,Qd,Tc,Th,7s,,,3,2,15.2,5.6,79.2
Ac,2c,,,,,,0,4,24.6,3.2,72.2
7h,Jd,6h,Td,5h,,,3,1,30.2,2.2,67.6
Kc,Kd,2c,4c,As,Jd,,4,1,75.6,0.2,24.2
8s,5h,Qc,5c,7d,Qd,3h,5,7,6.6,0.4,93.0
5c,Kh,Ks,3h,4s,,,3,1,81.6,1.4,17.0
7d,5h,6d,4h,5d,Kd,Qd,5,1,76.4,0.0,23.6
4c,7s,Qc,Js,2c,,,3,6,1.2,0.2,98.6
3c,2h,,,,,,0,7,7.8,2.4,89.8
7d,Kc,5s,2h,8s,,,3,1,38.6,2.0,59.4
6s,Qs,,,,,,0,1,50.4,5.2,44.4
Qs,8h,2s,5s,5h,,,3,2,25.4,3.8,70.8
5h,7h,,,,,,0,8,9.6,2.2,88.2
7d,3c,9s,Kd,Tc,Td,3d,5,2,25.2,5.4,69.4
Kc,Qd,Td,6h,Th,,,3,6,7.2,1.0,91.8
9d,As,Th,9c,4c,Qd,Kd,5,6,0.6,0.0,99.4
Jd,9h,3h,Jc,Kd,,,3,8,16.8,2.2,81.0
7d,Jh,2h,Kd,6h,Qd,,4,8,0.0,0.0,100.0
Jc,Ac,3h,4c,7c,Ad,,4,4,60.4,0.4,39.2
8d,As,7h,7d,4d,2c,7s,5,6,2.2,0.2,97.6
2s,Ac,7d,Tc,Td,Th,,4,7,4.4,9.4,86.2
Kc,5c,Jh,Js,9s,6h,,4,4,4.0,2.8,93.2
3h,4d,,,,,,0,4,11.4,1.6,87.0
Th,3h,,,,,,0,3,23.0,3.0,74.0
Js,3s,,,,,,0,1,43.8,3.2,53.0
8d,Kh,7c,8h,Ac,,,3,4,27.6,3.2,69.2
5s,9c,,,,,,0,6,9.6,3.8,86.6
2s,8s,6h,9c,Ad,3s,Tc,5,7,0.0,0.0,100.0
Kc,7h,9h,8d,Qc,Ks,,4,2,59.4,9.0,31.6
Qd,Kh,Js,Th,Jd,Tc,,4,5,11.2,10.4,78.4
5c,9d,,,,,,0,4,11.4,2.6,86.0
3h,Kd,,,,,,0,6,11.8,3.2,85.0
6d,9c,6s,Tc,2s,Ks,,4,6,5.4,1.2,93.4
Jc,6s,Ac,6c,Qd,,,3,6,13.2,3.0,83.8
Ac,4s,3d,Jh,4h,Tc,,4,4,18.8,0.4,80.8
2s,Qd,Js,5d,8c,,,3,4,4.8,1.4,93.8
Kc,4c,,,,,,0,6,11.4,1.8,86.8
Tc,Kc,,,,,,0,3,35.0,3.4,61.6
9c,Kc,,,,,,0,6,21.6,3.0,75.4
Kc,Ac,Qd,Jd,Td,,,3,5,37.4,9.6,53.0
4s,4c,,,,,,0,4,20.0,0.6,79.4
5d,6s,Ac,4d,Qd,6c,8h,5,2,23.4,3.0,73.6
9s,Ac,2s,6h,Ks,,,3,1,46.4,1.0,52.6
8s,3s,2d,Ts,Kc,,,3,4,6.6,0.6,92.8
3d,2s,Js,2d,Ah,3s,,4,2,66.2,1.0,32.8
4h,5s,,,,,,0,8,8.0,2.8,89.2
Ah,Kd,,,,,,0,3,40.0,1.0,59.0
9h,Kd,Jc,6d,9d,2c,3s,5,6,16.8,1.6,81.6
4s,4d,2h,Jc,8c,Jh,Kh,5,6,2.4,0.0,97.6
7d,4d,7s,Qh,6h,6c,,4,4,14.4,6.6,79.0
Jd,8c,,,,,,0,2,26.2,3.8,70.0
4s,7s,7h,9d,4h,Ac,4d,5,8,89.8,1.6,8.6
5h,4s,6s,7d,Kc,,,3,6,20.0,3.4,76.6
8d,Ah,Tc,5d,3h,,,3,1,48.4,2.6,49.0
2c,5d,Js,5c,5s,,,3,4,67.4,6.2,26.4
Ks,Js,4h,8d,Kc,,,3,6,41.2,3.4,55.4
Ac,6h,Ks,7s,2s,,,3,7,1.2,0.6,98.2
9h,9c,6h,7c,Kd,5s,,4,4,27.2,2.2,70.6
Qs,2h,Js,Kc,Td,7s,9h,5,7,35.8,55.8,8.4
2h,9d,5s,3d,3s,9c,7d,5,4,32.0,3.8,64.2
7h,5c,5h,4h,7d,,,3,6,36.8,1.8,61.4
Kd,5c,As,7c,3s,8h,6h,5,6,0.2,0.0,99.8
Kd,Ah,4s,2d,5h,,,3,5,7.6,3.4,89.0
Ts,9s,5s,8c,3d,7h,,4,3,21.2,0.4,78.4
Jh,3d,Kc,4c,3s,As,,4,3,12.2,2.6,85.2
Jd,6d,8h,Th,5c,4d,,4,6,3.6,2.6,93.8
Jh,Kd,Ah,3h,7d,,,3,1,51.8,2.4,45.8
Tc,5d,,,,,,0,5,10.4,4.8,84.8
Jh,7c,,,,,,0,1,44.0,6.0,50.0
6d,Ad,,,,,,0,7,17.0,3.6,79.4
7d,Qh,Kd,5h,Qs,Qd,Th,5,1,92.8,2.4,4.8
6h,9c,,,,,,0,6,9.4,2.4,88.2
4s,3c,6d,6c,7h,Jd,,4,6,6.0,0.6,93.4
Qh,5s,8d,4s,2c,,,3,8,3.2,2.6,94.2
8d,8h,9s,3c,9h,4c,,4,4,40.4,0.6,59.0
As,3d,,,,,,0,4,21.2,4.6,74.2
9d,6c,Ah,5d,Ks,5s,,4,4,1.0,3.8,95.2
6d,8c,,,,,,0,3,20.8,2.2,77.0
2s,6c,3c,2d,9s,,,3,1,56.0,3.2,40.8
Th,3c,,,,,,0,7,6.0,2.4,91.6
8s,8c,9h,8d,6s,Ac,,4,5,69.0,0.0,31.0
Ts,9c,,,,,,0,5,20.6,3.2,76.2
9d,6d,Kh,2c,3h,,,3,4,5.0,0.2,94.8
3h,Td,Jc,5s,Qs,Th,,4,5,8.6,2.0,89.4
6c,5s,,,,,,0,7,9.4,2.6,88.0
Ks,Ah,Td,3d,6c,,,3,5,13.2,0.6,86.2
8d,6h,,,,,,0,7,10.4,2.4,87.2
6d,2s,Ad,7h,Ah,8s,,4,8,0.0,0.0,100.0
Th,2s,Kh,4c,2c,Ts,7s,5,2,90.4,0.0,9.6
8c,7d,Qs,Jc,2h,9c,Qh,5,6,0.0,0.0,100.0
2h,Ks,Jh,2c,8d,,,3,6,18.4,0.8,80.8
5s,Ac,9h,8h,Ah,,,3,6,12.6,6.4,81.0
4d,Jc,9h,7s,2s,Kh,9d,5,1,21.0,5.4,73.6
8s,7h,6h,7c,6d,Tc,Ks,5,5,5.6,3.6,90.8
6c,Kd,4h,3s,Ad,Td,2c,5,6,0.0,0.0,100.0
Kh,7s,,,,,,0,6,13.0,2.8,84.2
Kd,6c,7s,6s,5s,3h,,4,8,2.2,1.0,96.8
7c,7h,Ts,Kc,5c,9d,3d,5,6,2.2,0.0,97.8
3h,8c,,,,,,0,5,8.4,2.6,89.0
4h,Ks,Th,Qs,Ad,Jc,,4,4,46.8,50.2,3.0
5c,5h,3d,Td,2s,7h,,4,3,19.0,0.0,81.0
3d,9h,2s,6d,7s,8s,6s,5,8,0.0,0.0,100.0
4c,Ad,5h,4d,As,2h,Jc,5,6,23.0,0.6,76.4
Js,2h,5h,2d,Kd,Jd,,4,3,53.6,2.0,44.4
Kd,2s,Jh,4d,6d,,,3,8,5.2,0.8,94.0
9h,Td,,,,,,0,5,19.4,2.0,78.6
2d,5s,Ac,6c,Ts,4h,,4,4,7.6,0.2,92.2
3c,9s,Qh,3d,Td,Jd,,4,3,13.6,2.8,83.6
2h,Jd,,,,,,0,1,45.0,5.6,49.4
2h,2d,Qs,8h,6h,Tc,,4,6,3.0,0.0,97.0
7h,Js,Th,Qd,7d,Ts,9d,5,1,50.6,5.6,43.8
Ks,Jd,As,8d,Th,,,3,4,26.2,3.2,70.6
Kh,8d,2d,9c,8c,,,3,2,50.8,0.8,48.4
Td,4h,6d,2h,8d,,,3,3,11.6,1.4,87.0
9s,7h,8s,8c,Qc,7d,3c,5,8,1.0,2.2,96.8
6h,Qs,5s,2h,8s,6s,Ks,5,6,74.4,0.0,25.6
4s,3d,7c,7s,Qd,Ts,,4,3,1.6,2.6,95.8
5d,Jh,,,,,,0,2,26.8,4.8,68.4
4s,9h,2h,Ts,6c,,,3,8,1.8,1.4,96.8
9s,7h,2s,4h,Tc,2h,,4,8,0.8,0.2,99.0
2h,8d,,,,,,0,3,16.8,2.6,80.6
5h,Tc,7s,Kc,7h,5d,,4,6,5.0,4.0,91.0
2h,7c,Td,3d,Qs,,,3,4,2.4,1.2,96.4
Td,6h,As,5h,5d,5s,3d,5,3,1.0,1.2,97.8
6h,3d,,,,,,0,6,9.4,1.4,89.2
Qd,6s,6c,4d,Ts,,,3,1,67.6,1.2,31.2
4d,4s,6d,3d,7s,7d,Ks,5,6,2.6,0.0,97.4
Qs,7h,7c,2d,Kc,,,3,2,50.8,2.2,47.0
Kd,2d,3d,6c,5s,Td,4c,5,6,9.6,19.0,71.4
Jd,As,,,,,,0,1,65.0,2.6,32.4
Th,7c,4h,Ad,Tc,,,3,5,21.2,4.0,74.8
Qd,Ks,8s,5s,Kc,2c,4s,5,3,54.2,1.4,44.4
9h,Kh,6h,Kd,8h,,,3,3,69.8,1.8,28.4
Jh,Ks,2d,7h,8c,,,3,7,7.2,2.2,90.6
6d,Ts,9s,4s,9c,4c,4h,5,2,0.0,69.8,30.2
9d,4d,As,6c,6d,4c,7s,5,3,11.6,5.8,82.6
Ks,Th,4s,Jc,Jh,3c,,4,7,3.6,0.2,96.2
2c,4h,5d,Qs,9d,5c,Ah,5,5,0.0,0.0,100.0
5d,4c,7s,2d,Js,,,3,3,7.2,0.6,92.2
8c,2h,6c,Qh,4h,,,3,3,6.8,1.0,92.2
5d,2d,Jd,2c,8d,,,3,4,39.4,1.2,59.4
7c,Ts,6h,4h,8s,5h,Th,5,2,27.4,7.2,65.4
8s,Jd,Ts,6d,7d,4c,4s,5,6,0.0,0.0,100.0
Js,Kd,Jd,Ad,4c,,,3,4,38.0,5.6,56.4
Qh,7s,6s,4h,Ts,2d,As,5,7,0.0,0.0,100.0
Kd,Ah,2d,Jd,3d,,,3,5,35.2,0.8,64.0
8h,Js,,,,,,0,7,11.4,2.2,86.4
Kd,Ad,2h,2d,Td,6c,,4,8,22.4,0.4,77.2
8h,Ts,9d,6d,8s,Qd,,4,4,15.6,6.6,77.8
5d,Qc,Ah,4h,Th,3d,2h,5,1,57.0,8.0,35.0
4s,Ts,6c,Jc,Ad,,,3,5,1.6,1.6,96.8
6d,Ts,Ad,9d,4c,5h,,4,7,0.6,0.0,99.4
Qd,Jc,,,,,,0,5,20.6,4.4,75.0
5h,4c,,,,,,0,8,8.4,1.2,90.4
5d,2h,6h,Kh,7s,,,3,3,4.4,1.2,94.4
8s,6d,,,,,,0,2,29.2,3.8,67.0
4s,9c,Kd,7s,2s,9s,,4,4,23.2,3.6,73.2
Jd,Qs,5h,2h,Ad,,,3,5,6.8,1.6,91.6
Js,5d,Kh,Qc,Jc,4d,Qd,5,7,8.4,5.6,86.0
Qh,3d,Ah,Ac,Qc,2c,,4,1,68.0,5.6,26.4
Th,Jh,Jd,4h,9c,2c,3s,5,6,29.0,1.2,69.8
2c,Kc,8s,Ac,4d,5d,,4,2,17.8,4.6,77.6
8s,9c,4c,7s,8c,7c,,4,7,11.0,3.8,85.2
5c,4c,9h,7s,4d,Tc,,4,2,22.8,3.2,74.0
2c,Ad,Kh,4h,3c,4d,,4,8,6.8,2.0,91.2
7h,4d,2d,Qc,Jc,6s,5h,5,8,0.0,0.0,100.0
4d,Tc,Ts,Ks,Qd,Jd,,4,1,33.0,19.4,47.6
Tc,5s,Kh,Qh,3s,,,3,7,1.8,1.6,96.6
5s,2c,Qs,Th,Ks,,,3,3,2.0,3.0,95.0
3c,Qh,8d,8s,7h,Js,Ah,5,8,0.0,0.0,100.0
2d,6h,8s,3d,As,3h,,4,3,2.4,3.2,94.4
Qc,Jd,3d,5c,As,5h,2h,5,8,0.0,0.0,100.0
Ks,5s,4h,2d,Qs,Kh,,4,8,20.4,3.8,75.8
4h,Ks,5s,2d,3d,Ac,Js,5,6,35.6,58.2,6.2
Jh,Ah,Ac,3s,As,5c,,4,6,62.4,4.0,33.6
3s,Ks,,,,,,0,7,11.2,4.2,84.6
5d,Ah,Js,Ad,Jh,8h,,4,8,13.8,13.2,73.0
